Date,Open,High,Low,Close,Adj Close,Volume
2013-07-29,363.750000,377.500000,363.750000,376.100006,311.568085,43159416
2013-08-05,374.850006,378.125000,367.500000,370.568756,306.985931,30803592
2013-08-12,372.000000,386.862488,370.956238,372.299988,308.420074,39227512
2013-08-19,373.762512,379.556244,365.262512,375.087494,310.729370,39612648
2013-08-26,377.493744,391.250000,376.062500,388.231262,321.617828,61191640
2013-09-02,384.637512,392.487488,374.387512,378.631256,313.665039,43294752
2013-09-09,378.631256,398.500000,376.662506,378.506256,313.561523,47237640
2013-09-16,378.125000,382.243744,372.512512,374.393738,310.154602,45118800
2013-09-23,375.625000,381.375000,373.875000,375.825012,311.340271,45103416
2013-09-30,377.524994,381.875000,374.693756,377.049988,312.355133,36028928
2013-10-07,376.875000,417.250000,375.799988,409.312500,339.081970,103875336
2013-10-14,407.000000,420.881256,407.000000,414.318756,343.229218,43910816
2013-10-21,416.625000,422.212494,408.137512,416.443756,347.058624,35645616
2013-10-28,414.649994,420.618744,408.674988,409.587494,341.344727,30058176
2013-11-04,409.587494,424.993744,404.125000,420.006256,350.027557,24833720
2013-11-11,418.750000,424.750000,414.506256,419.281250,349.423401,23286424
2013-11-18,423.875000,431.000000,414.137512,418.450012,348.730652,30824784
2013-11-25,419.000000,422.350006,408.125000,419.318756,349.454559,32719544
2013-12-02,419.000000,424.875000,414.774994,415.725006,346.459625,33017656
2013-12-09,420.625000,423.731262,415.131256,421.731262,351.465179,41295344
2013-12-16,422.500000,446.625000,419.225006,443.918762,369.955933,46031904
2013-12-23,437.500000,446.500000,432.568756,445.162506,370.992432,30207808
2013-12-30,445.962494,446.875000,431.781250,445.643738,371.393463,31384016
2014-01-06,446.887512,447.562500,427.231262,443.906250,369.945496,70651392
2014-01-13,447.750000,470.581238,447.750000,466.218750,388.540405,84952016
2014-01-20,464.000000,474.875000,463.056244,469.768738,391.498901,43418096
2014-01-27,465.000000,470.487488,456.706238,462.637512,385.555847,42863232
2014-02-03,460.625000,461.500000,442.625000,445.818756,371.539307,26547576
2014-02-10,447.487488,458.000000,444.687500,455.537506,379.638824,25642216
2014-02-17,460.625000,470.250000,455.875000,468.837494,390.722900,39947296
2014-02-24,468.250000,479.643738,466.250000,478.106262,398.447296,29648784
2014-03-03,478.125000,481.243744,463.537506,467.537506,389.639496,40384648
2014-03-10,466.212494,466.212494,416.881256,424.268738,353.579895,67455272
2014-03-17,424.268738,426.487488,404.843750,413.206238,344.360535,47985512
2014-03-24,409.024994,414.806244,401.993744,407.825012,339.875885,44913168
2014-03-31,410.662506,419.500000,403.756256,414.506256,345.443970,32075480
2014-04-07,412.250000,414.306244,395.625000,404.393738,337.016266,57703800
2014-04-14,404.393738,423.500000,393.437500,399.006256,332.526489,42372600
2014-04-21,401.250000,402.500000,392.799988,396.950012,330.812836,30726144
2014-04-28,396.125000,405.875000,395.625000,402.462494,335.406860,23384272
2014-05-05,399.000000,404.125000,380.806244,388.931244,324.130096,39700176
2014-05-12,389.774994,417.500000,382.381256,397.193756,331.015961,42126840
2014-05-19,399.750000,399.750000,375.012512,383.693756,319.765198,51736680
2014-05-26,383.875000,398.500000,360.000000,367.424988,306.207031,85500936
2014-06-02,370.062500,383.549988,368.750000,375.381256,317.135040,47598944
2014-06-09,375.750000,412.131256,372.012512,398.375000,336.560944,72993824
2014-06-16,398.250000,417.424988,397.500000,414.575012,350.247253,49412704
2014-06-23,412.500000,413.618744,396.093750,402.924988,340.404999,37666952
2014-06-30,402.500000,407.875000,398.812500,405.743744,342.786346,31330600
2014-07-07,408.125000,429.000000,406.325012,415.831238,351.308563,58541520
2014-07-14,414.375000,418.237488,398.225006,406.443756,343.377716,26005928
2014-07-21,406.875000,424.875000,398.512512,419.024994,354.006805,38905896
2014-07-28,418.125000,424.362488,415.106262,417.662506,352.855774,30600344
2014-08-04,419.375000,451.043762,418.662506,435.331238,367.782898,53642344
2014-08-11,440.500000,453.462494,438.750000,451.568756,381.500854,27249448
2014-08-18,451.500000,451.500000,441.250000,450.125000,380.281128,26294856
2014-08-25,449.875000,456.250000,445.256256,449.850006,380.048889,23209656
2014-09-01,451.256256,474.375000,444.443756,466.343750,393.983276,31791360
2014-09-08,466.587494,473.812500,453.825012,458.737488,387.557343,24835432
2014-09-15,458.125000,473.487488,452.950012,462.756256,390.952484,41779616
2014-09-22,460.000000,465.031250,449.443756,460.018738,388.639771,60979256
2014-09-29,462.625000,482.493744,460.137512,480.912506,406.291504,21394376
2014-10-06,480.912506,488.500000,446.587494,486.081238,410.658234,98717024
2014-10-13,486.162506,498.125000,479.637512,481.456238,406.750854,42794904
2014-10-20,481.625000,482.818756,463.750000,475.631256,404.930023,39787848
2014-10-27,481.250000,508.250000,470.625000,506.406250,431.130432,43579464
2014-11-03,509.612488,522.875000,504.056244,520.825012,443.405884,28789888
2014-11-10,521.881226,526.431274,512.137512,523.956238,446.071625,27432008
2014-11-17,523.125000,529.062500,512.700012,518.268738,441.229584,31737624
2014-11-24,525.000000,549.750000,523.993774,544.981262,463.971344,65601112
2014-12-01,548.375000,550.275024,514.950012,517.575012,440.638977,58529888
2014-12-08,502.250000,504.750000,478.750000,484.662506,412.618805,207034012
2014-12-15,476.237488,502.000000,474.075012,499.662506,425.389130,82855428
